trade_id,wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_train_objective,wfa_selected_params,source_trade_id,strategy_name,session_date,direction,level_type,academic_source_key,setup_mode,spx_0dte_signal_timestamp,spx_0dte_session_date,spx_0dte_weekday,spx_0dte_weekday_name,spx_0dte_calendar_bucket,spx_0dte_trigger_mode,spx_0dte_direction,spx_0dte_session_open,spx_0dte_signal_close,spx_0dte_open_to_signal_ticks,spx_0dte_min_abs_move_ticks,spx_0dte_exclude_standard_monthly,spx_0dte_is_standard_monthly,spx_0dte_is_quarterly_month,signal_flatten_time,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,2.6963883052483184,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",1,spx_0dte_expiration_pressure,2023-05-12,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-05-12 14:30:00-04:00,2023-05-12,4,Friday,full_week,continue_move,short,4155.75,4116.25,-158.0,112.0,True,False,False,15:55:00,2023-05-12 14:30:00-04:00,4116.0,4132.5,4083.0,16.5,1,4.0,16.5,fixed_contracts,2023-05-12 15:45:00-04:00,4132.75,stop,-837.5,-842.5,-1.0151515151515151,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,2.6963883052483184,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",2,spx_0dte_expiration_pressure,2023-05-17,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-05-17 14:30:00-04:00,2023-05-17,2,Wednesday,full_week,continue_move,long,4143.75,4172.25,114.0,112.0,True,False,False,15:55:00,2023-05-17 14:30:00-04:00,4172.75,4156.0,4206.25,16.75,1,2.25,8.0,fixed_contracts,2023-05-17 15:55:00-04:00,4172.75,eod_flatten,0.0,-5.0,0.0,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,2.6963883052483184,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",3,spx_0dte_expiration_pressure,2023-05-23,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-05-23 14:30:00-04:00,2023-05-23,1,Tuesday,full_week,continue_move,short,4187.75,4159.75,-112.0,112.0,True,False,False,15:55:00,2023-05-23 14:30:00-04:00,4159.5,4176.25,4126.0,16.75,1,4.25,8.0,fixed_contracts,2023-05-23 15:55:00-04:00,4160.75,eod_flatten,-62.5,-67.5,-0.07462686567164178,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,2.6963883052483184,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",4,spx_0dte_expiration_pressure,2023-05-26,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-05-26 14:30:00-04:00,2023-05-26,4,Friday,full_week,continue_move,long,4166.25,4211.5,181.0,112.0,True,False,False,15:55:00,2023-05-26 14:30:00-04:00,4212.0,4195.0,4246.0,17.0,1,9.25,0.75,fixed_contracts,2023-05-26 15:55:00-04:00,4215.75,eod_flatten,187.5,182.5,0.22058823529411764,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,2.6963883052483184,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",5,spx_0dte_expiration_pressure,2023-06-01,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-06-01 14:30:00-04:00,2023-06-01,3,Thursday,full_week,continue_move,long,4191.25,4230.75,158.0,112.0,True,False,False,15:55:00,2023-06-01 14:30:00-04:00,4231.25,4214.25,4265.25,17.0,1,8.5,12.25,fixed_contracts,2023-06-01 15:55:00-04:00,4224.5,eod_flatten,-337.5,-342.5,-0.39705882352941174,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,2.6963883052483184,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",6,spx_0dte_expiration_pressure,2023-06-02,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-06-02 14:30:00-04:00,2023-06-02,4,Friday,full_week,continue_move,long,4254.75,4289.25,138.0,112.0,True,False,False,15:55:00,2023-06-02 14:30:00-04:00,4289.75,4272.5,4324.25,17.25,1,8.0,1.0,fixed_contracts,2023-06-02 15:55:00-04:00,4291.75,eod_flatten,100.0,95.0,0.11594202898550725,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,2.6963883052483184,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",7,spx_0dte_expiration_pressure,2023-06-15,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-06-15 14:30:00-04:00,2023-06-15,3,Thursday,full_week,continue_move,long,4408.25,4465.0,227.0,112.0,True,False,False,15:55:00,2023-06-15 14:30:00-04:00,4465.25,4447.25,4501.25,18.0,1,20.25,0.5,fixed_contracts,2023-06-15 15:55:00-04:00,4474.25,eod_flatten,450.0,445.0,0.5,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,2.6963883052483184,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",8,spx_0dte_expiration_pressure,2023-06-27,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-06-27 14:30:00-04:00,2023-06-27,1,Tuesday,full_week,continue_move,long,4379.5,4421.5,168.0,112.0,True,False,False,15:55:00,2023-06-27 14:30:00-04:00,4422.0,4404.25,4457.5,17.75,1,2.75,4.5,fixed_contracts,2023-06-27 15:55:00-04:00,4419.75,eod_flatten,-112.5,-117.5,-0.1267605633802817,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,2.6963883052483184,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",9,spx_0dte_expiration_pressure,2023-07-07,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-07-07 14:30:00-04:00,2023-07-07,4,Friday,full_week,continue_move,long,4434.75,4467.0,129.0,112.0,True,False,False,15:55:00,2023-07-07 14:30:00-04:00,4467.5,4449.5,4503.5,18.0,1,0.5,18.25,fixed_contracts,2023-07-07 15:39:00-04:00,4449.25,stop,-912.5,-917.5,-1.0138888888888888,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,2,2022-07-11,2023-07-11,2023-07-11,2023-09-11,MAR,1.3149999959702796,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.5}",1,spx_0dte_expiration_pressure,2023-07-18,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-07-18 14:30:00-04:00,2023-07-18,1,Tuesday,full_week,continue_move,long,4550.0,4588.75,155.0,112.0,True,False,False,15:55:00,2023-07-18 14:30:00-04:00,4589.0,4570.5,4635.25,18.5,1,5.5,5.75,fixed_contracts,2023-07-18 15:55:00-04:00,4589.75,eod_flatten,37.5,32.5,0.04054054054054054,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
11,2,2022-07-11,2023-07-11,2023-07-11,2023-09-11,MAR,1.3149999959702796,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.5}",2,spx_0dte_expiration_pressure,2023-07-27,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-07-27 14:30:00-04:00,2023-07-27,3,Thursday,full_week,continue_move,short,4629.25,4578.0,-205.0,112.0,True,False,False,15:55:00,2023-07-27 14:30:00-04:00,4577.75,4596.25,4531.5,18.5,1,24.0,4.0,fixed_contracts,2023-07-27 15:55:00-04:00,4562.25,eod_flatten,775.0,770.0,0.8378378378378378,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
12,2,2022-07-11,2023-07-11,2023-07-11,2023-09-11,MAR,1.3149999959702796,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.5}",3,spx_0dte_expiration_pressure,2023-08-23,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-08-23 14:30:00-04:00,2023-08-23,2,Wednesday,full_week,continue_move,long,4410.5,4447.75,149.0,112.0,True,False,False,15:55:00,2023-08-23 14:30:00-04:00,4448.25,4430.25,4493.25,18.0,1,4.5,6.0,fixed_contracts,2023-08-23 15:55:00-04:00,4444.5,eod_flatten,-187.5,-192.5,-0.20833333333333334,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
13,2,2022-07-11,2023-07-11,2023-07-11,2023-09-11,MAR,1.3149999959702796,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.5}",4,spx_0dte_expiration_pressure,2023-08-24,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-08-24 14:30:00-04:00,2023-08-24,3,Thursday,full_week,continue_move,short,4463.5,4407.5,-224.0,112.0,True,False,False,15:55:00,2023-08-24 14:30:00-04:00,4407.5,4425.25,4363.125,17.75,1,20.0,2.5,fixed_contracts,2023-08-24 15:55:00-04:00,4391.75,eod_flatten,787.5,782.5,0.8873239436619719,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
14,2,2022-07-11,2023-07-11,2023-07-11,2023-09-11,MAR,1.3149999959702796,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.5}",5,spx_0dte_expiration_pressure,2023-08-29,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-08-29 14:30:00-04:00,2023-08-29,1,Tuesday,full_week,continue_move,long,4441.0,4498.5,230.0,112.0,True,False,False,15:55:00,2023-08-29 14:30:00-04:00,4498.75,4480.75,4543.75,18.0,1,10.25,3.25,fixed_contracts,2023-08-29 15:55:00-04:00,4503.5,eod_flatten,237.5,232.5,0.2638888888888889,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
15,2,2022-07-11,2023-07-11,2023-07-11,2023-09-11,MAR,1.3149999959702796,"{'entry.params.min_abs_move_ticks': 112, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.5}",6,spx_0dte_expiration_pressure,2023-09-01,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-09-01 14:30:00-04:00,2023-09-01,4,Friday,full_week,continue_move,short,4542.75,4512.0,-123.0,112.0,True,False,False,15:55:00,2023-09-01 14:30:00-04:00,4511.5,4529.75,4465.875,18.25,1,2.25,11.5,fixed_contracts,2023-09-01 15:55:00-04:00,4522.25,eod_flatten,-537.5,-542.5,-0.589041095890411,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
16,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",1,spx_0dte_expiration_pressure,2023-09-21,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-09-21 14:30:00-04:00,2023-09-21,3,Thursday,full_week,continue_move,short,4415.75,4391.75,-96.0,96.0,True,False,False,15:55:00,2023-09-21 14:30:00-04:00,4391.5,4404.75,4365.0,13.25,1,16.25,5.25,fixed_contracts,2023-09-21 15:55:00-04:00,4378.25,eod_flatten,662.5,657.5,1.0,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
17,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",2,spx_0dte_expiration_pressure,2023-09-26,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-09-26 14:30:00-04:00,2023-09-26,1,Tuesday,full_week,continue_move,short,4346.25,4314.25,-128.0,96.0,True,False,False,15:55:00,2023-09-26 14:30:00-04:00,4314.0,4327.0,4288.0,13.0,1,8.5,3.25,fixed_contracts,2023-09-26 15:55:00-04:00,4313.25,eod_flatten,37.5,32.5,0.057692307692307696,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
18,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",3,spx_0dte_expiration_pressure,2023-09-27,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-09-27 14:30:00-04:00,2023-09-27,2,Wednesday,full_week,continue_move,short,4325.5,4298.5,-108.0,96.0,True,False,False,15:55:00,2023-09-27 14:30:00-04:00,4298.25,4311.25,4272.25,13.0,1,0.0,13.0,fixed_contracts,2023-09-27 14:37:00-04:00,4311.5,stop,-662.5,-667.5,-1.0192307692307692,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
19,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",4,spx_0dte_expiration_pressure,2023-09-28,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-09-28 14:30:00-04:00,2023-09-28,3,Thursday,full_week,continue_move,long,4307.25,4341.5,137.0,96.0,True,False,False,15:55:00,2023-09-28 14:30:00-04:00,4342.0,4328.75,4368.5,13.25,1,0.25,14.25,fixed_contracts,2023-09-28 14:36:00-04:00,4328.5,stop,-675.0,-680.0,-1.0188679245283019,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
20,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",5,spx_0dte_expiration_pressure,2023-09-29,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-09-29 14:30:00-04:00,2023-09-29,4,Friday,full_week,continue_move,short,4369.75,4314.25,-222.0,96.0,True,False,False,15:55:00,2023-09-29 14:30:00-04:00,4314.25,4327.25,4288.25,13.0,1,3.25,13.75,fixed_contracts,2023-09-29 14:55:00-04:00,4327.5,stop,-662.5,-667.5,-1.0192307692307692,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
21,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",6,spx_0dte_expiration_pressure,2023-10-03,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-10-03 14:30:00-04:00,2023-10-03,1,Tuesday,full_week,continue_move,short,4301.0,4254.75,-185.0,96.0,True,False,False,15:55:00,2023-10-03 14:30:00-04:00,4254.25,4267.25,4228.25,13.0,1,2.0,11.75,fixed_contracts,2023-10-03 15:55:00-04:00,4261.0,eod_flatten,-337.5,-342.5,-0.5192307692307693,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
22,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",7,spx_0dte_expiration_pressure,2023-10-06,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-10-06 14:30:00-04:00,2023-10-06,4,Friday,full_week,continue_move,long,4265.25,4351.5,345.0,96.0,True,False,False,15:55:00,2023-10-06 14:30:00-04:00,4351.75,4338.5,4378.25,13.25,1,6.75,8.75,fixed_contracts,2023-10-06 15:55:00-04:00,4342.75,eod_flatten,-450.0,-455.0,-0.6792452830188679,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
23,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",8,spx_0dte_expiration_pressure,2023-10-09,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-10-09 14:30:00-04:00,2023-10-09,0,Monday,full_week,continue_move,long,4321.75,4371.25,198.0,96.0,True,False,False,15:55:00,2023-10-09 14:30:00-04:00,4371.5,4358.25,4398.0,13.25,1,4.25,9.25,fixed_contracts,2023-10-09 15:55:00-04:00,4366.0,eod_flatten,-275.0,-280.0,-0.41509433962264153,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
24,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",9,spx_0dte_expiration_pressure,2023-10-12,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-10-12 14:30:00-04:00,2023-10-12,3,Thursday,full_week,continue_move,short,4413.75,4369.25,-178.0,96.0,True,False,False,15:55:00,2023-10-12 14:30:00-04:00,4369.0,4382.25,4342.5,13.25,1,2.5,13.5,fixed_contracts,2023-10-12 15:19:00-04:00,4382.5,stop,-675.0,-680.0,-1.0188679245283019,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
25,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",10,spx_0dte_expiration_pressure,2023-10-13,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-10-13 14:30:00-04:00,2023-10-13,4,Friday,full_week,continue_move,short,4395.0,4356.5,-154.0,96.0,True,False,False,15:55:00,2023-10-13 14:30:00-04:00,4356.5,4369.75,4330.0,13.25,1,10.75,10.75,fixed_contracts,2023-10-13 15:55:00-04:00,4359.0,eod_flatten,-125.0,-130.0,-0.18867924528301888,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
26,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",11,spx_0dte_expiration_pressure,2023-10-23,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-10-23 14:30:00-04:00,2023-10-23,0,Monday,full_week,continue_move,long,4231.25,4260.25,116.0,96.0,True,False,False,15:55:00,2023-10-23 14:30:00-04:00,4260.5,4247.5,4286.5,13.0,1,7.5,15.25,fixed_contracts,2023-10-23 15:23:00-04:00,4247.25,stop,-662.5,-667.5,-1.0192307692307692,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
27,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",12,spx_0dte_expiration_pressure,2023-10-25,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-10-25 14:30:00-04:00,2023-10-25,2,Wednesday,full_week,continue_move,short,4253.5,4211.25,-169.0,96.0,True,False,False,15:55:00,2023-10-25 14:30:00-04:00,4211.0,4223.75,4185.5,12.75,1,6.25,7.5,fixed_contracts,2023-10-25 15:55:00-04:00,4210.0,eod_flatten,50.0,45.0,0.0784313725490196,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
28,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",13,spx_0dte_expiration_pressure,2023-10-27,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-10-27 14:30:00-04:00,2023-10-27,4,Friday,full_week,continue_move,short,4172.75,4128.25,-178.0,96.0,True,False,False,15:55:00,2023-10-27 14:30:00-04:00,4128.25,4140.75,4103.25,12.5,1,2.0,13.0,fixed_contracts,2023-10-27 14:38:00-04:00,4141.0,stop,-637.5,-642.5,-1.02,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
29,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",14,spx_0dte_expiration_pressure,2023-11-02,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-11-02 14:30:00-04:00,2023-11-02,3,Thursday,full_week,continue_move,long,4294.0,4330.0,144.0,96.0,True,False,False,15:55:00,2023-11-02 14:30:00-04:00,4330.25,4317.25,4356.25,13.0,1,7.5,2.0,fixed_contracts,2023-11-02 15:55:00-04:00,4337.0,eod_flatten,337.5,332.5,0.5192307692307693,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
30,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",15,spx_0dte_expiration_pressure,2023-11-03,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-11-03 14:30:00-04:00,2023-11-03,4,Friday,full_week,continue_move,long,4359.5,4386.0,106.0,96.0,True,False,False,15:55:00,2023-11-03 14:30:00-04:00,4386.5,4373.25,4413.0,13.25,1,5.25,9.25,fixed_contracts,2023-11-03 15:55:00-04:00,4377.25,eod_flatten,-462.5,-467.5,-0.6981132075471698,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
31,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",16,spx_0dte_expiration_pressure,2023-11-09,short,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-11-09 14:30:00-05:00,2023-11-09,3,Thursday,full_week,continue_move,short,4409.0,4372.5,-146.0,96.0,True,False,False,15:55:00,2023-11-09 14:30:00-05:00,4372.25,4385.5,4345.75,13.25,1,13.75,2.5,fixed_contracts,2023-11-09 15:55:00-05:00,4359.75,eod_flatten,625.0,620.0,0.9433962264150944,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
32,3,2022-09-11,2023-09-11,2023-09-11,2023-11-11,MAR,1.0474319179989404,"{'entry.params.min_abs_move_ticks': 96, 'sl.params.stop_pct': 0.003, 'tp.params.target_r_multiple': 2.0}",17,spx_0dte_expiration_pressure,2023-11-10,long,spx_0dte_full_week_continue_move,cboe_spx_0dte_expiration_pressure,full_week_late_move_continuation_1430,2023-11-10 14:30:00-05:00,2023-11-10,4,Friday,full_week,continue_move,long,4383.75,4422.5,155.0,96.0,True,False,False,15:55:00,2023-11-10 14:30:00-05:00,4422.75,4409.25,4449.75,13.5,1,10.75,3.5,fixed_contracts,2023-11-10 15:55:00-05:00,4430.0,eod_flatten,362.5,357.5,0.5370370370370371,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
